DATASET_EXTERNALSHAPE
SEPARATOR TAB


DATASET_LABEL	Num of genomes
COLOR	#ff0000


FIELD_COLORS	rgba(255, 0, 0, 0.5)
FIELD_LABELS	num

SHAPE_TYPE	2

SHOW_VALUES	0	#显示数值
HORIZONTAL_GRID	0  # 水平线
VERTICAL_GRID	0	# 垂直线

HEIGHT_FACTOR	5

MARGIN	-950


DATA
R3406	7.549834435
PB4204	6.480740698
PG3606D	5.744562647
Y4020	5.385164807
R1910	5
PH4033	4.795831523
PB2809B	4.582575695
2NR911	4.242640687
Y3614	4
Y2001A1	3.741657387
PF30-2	3.31662479
M4009	3.31662479
PG2906A	3.16227766
PF30-1D	3
RG13M1	3
P1003	3
M1707	2.828427125
2NR913A	2.828427125
P4013B	2.828427125
R1201	2.828427125
Y4204	2.828427125
PB4404	2.645751311
PB3502S	2.645751311
S1801	2.645751311
P1411	2.645751311
PH3801	2.449489743
M3602D	2.449489743
M2901	2.449489743
PM3604	2.449489743
PX1910	2.449489743
P8426	2.449489743
F1605B	2.449489743
R30-23	2.449489743
M2015	2.449489743
PF3311	2.449489743
PH3313A	2.449489743
M6011	2.449489743
J7Y3	2.236067977
PF3502	2.236067977
Y91-04	2.236067977
PK1605	2.236067977
R9020	2
PM2405	2
PH4014	2
P8010B	2
PK3901	2
PG3703	2
2NM914A	2
S3601	1.732050808
PB3601	1.732050808
PYS2103	1.732050808
R2305	1.732050808
X1601	1.732050808
S2209	1.732050808
R2416	1.732050808
PT2201-2	1.732050808
S5503	1.732050808
F7403A	1.732050808
R1214	1.732050808
Y1112B	1.732050808
B7036	1.732050808
M5909	1.732050808
P6004	1.732050808
PM2101E	1.732050808
PK4640	1.732050808
Y128-05A	1.414213562
M1327	1.414213562
PG2902	1.414213562
PL2406	1.414213562
R121-14B	1.414213562
DX121-18F	1.414213562
M20-04A	1.414213562
PG009	1.414213562
P2701V1	1.414213562
PB2201	1.414213562
M7025A	1.414213562
S1907	1.414213562
P7048X-2	1.414213562
S2702	1.414213562
PK2101B	1.414213562
M7501	1.414213562
PYS2703	1.414213562
R2701	1.414213562
PYS2302	1.414213562
PN006	1.414213562
M70-01Q	1.414213562
Y128-05C	1.414213562
PG4208	1.414213562
F6312	1.414213562
PH4023	1.414213562
M7017B	1.414213562
PYS2905	1.414213562
PT3309	1.414213562
F2013-T	1.414213562
PB4207	1.414213562
P7018B	1.414213562
R4601	1.414213562
R4402	1.414213562
PT30-03-2	1.414213562
PB4401	1.414213562
PT3102	1.414213562
PYS2810	1.414213562
M7004Y	1.414213562
PDH3307A	1.414213562
PG3902-1	1.414213562
PT3311B	1.414213562
P1801B	1.414213562
PH4021C	1.414213562
F8603	1
Y93-05	1
PG99-01B2	1
P115-07	1
M6601	1
Y119-03	1
Y100-08	1
Y8604A	1
Y127-01C1	1
PG5501	1
S80-01Y	1
M94-06F	1
R9002	1
DX126-06A	1
R2409	1
D2B6	1
R3503	1
P6409Y	1
PG113-03A	1
PF2412A	1
F3606	1
R13A2	1
PX1902	1
B14P1	1
PT4103	1
P118-02	1
S103-07	1
S1701	1
PG106-07D	1
R2504	1
S2904	1
M103-07B1	1
DX136-07W	1
Y4009A	1
PA3604	1
PF2411	1
R5906	1
PK20-01	1
PF1803	1
S90-01	1
R2309	1
M-2-1	1
S30-09	1
M119-17A	1
M30-05A-2	1
PG92-21	1
F127-10	1
PT2906	1
PT1902	1
PG5505	1
R8901	1
B5901	1
Y4102	1
PK3305	1
DX115-01	1
PB3310	1
DX6506	1
Y4206	1
R80-11	1
Y6105	1
B1607	1
B5408	1
B8007	1
R5919	1
R6205-2	1
M7023	1
F7312	1
PF2202	1
Y131-23	1
P5906	1
S3305	1
Y1806	1
DX8004	1
X1902-2	1
DX7706-2	1
R5324	1
M8501	1
PG4201	1
B2702	1
PF1801	1
R96-07A1	1
PYS4301M	1
B11D1	1
S3808	1
PDH2405	1
PF4103	1
R2406	1
R1802	1
S1123A	1
M94-02A	1
PT2105A-2	1
PB005A	1
M4303A	1
PG5214	1
M2204	1
M5902	1
M118-08B	1
P1410A	1
