DATASET_SIMPLEBAR
SEPARATOR TAB

COLOR	#3ec0e9
DATASET_LABEL	gene num
LEGEND_COLORS	#000000
LEGEND_LABELS	Min. (4657), Max. (21104)
LEGEND_SHAPES	1
LEGEND_TITLE	gene num
MARGIN	-200
WIDTH	200
HEIGHT_FACTOR	0.6
BAR_SHIFT	0.55

DATA
outgroup	1000
R8901	6814
DX8004	4654
DX126-06A	5422
R5919	4673
F8603	5628
PX1910	5226
P7018B	4802
M5909	4813
F6312	4903
DX115-01	5024
M7023	4901
PYS2905	5379
B8007	5365
Y93-05	8247
DX6506	4123
X1902-2	5484
2NR913A	4732
PB2809B	4919
Y4102	5395
Y6105	6000
Y1806	5168
B5408	6060
B7036	5923
B5901	6001
F2013-T	5242
P8010B	5121
PB4207	5853
P4013B	5203
PK3901	5076
R6205-2	5472
DX7706-2	4954
PK3305	5693
F7312	5287
PK1605	5360
Y91-04	6234
P6004	5606
2NR911	5631
P5906	5642
Y4206	4996
M2015	5747
F7403A	5646
R80-11	8050
Y131-23	6279
R1910	5916
R1214	8442
PF3311	6217
M119-17A	13664
Y1112B	8121
PG5214	6828
M94-02A	7206
PG92-21	15943
PG99-01B2	9042
S30-09	6905
PH4014	7184
M7017B	5692
PG3902-1	6492
P1410A	6640
PT2105A-2	6641
M118-08B	7148
PK2101B	6965
PG4208	10219
PF2202	9510
PT3311B	7078
PG2906A	7096
M30-05A-2	7395
PT3309	6488
P1801B	7022
R9020	7607
R30-23	10539
F1605B	9379
PDH3307A	7740
M5902	9103
PH4023	10157
F127-10	15696
PG113-03A	8681
PB3310	10171
P1411	9001
P7048X-2	8334
M4303A	8261
M4009	7210
S3305	11657
B1607	11544
M2204	7648
PB005A	7994
PG3703	7949
R13A2	8072
P8426	9922
M6011	8373
M103-07B1	14704
Y128-05C	11962
M3602D	10114
S1907	9410
Y128-05A	10257
M8501	9271
S1801	9233
M20-04A	8926
S2702	9983
P2701V1	9907
M1707	10058
M-2-1	9047
PF1803	9742
PH4021C	10483
PYS2302	10273
R2409	10136
PYS2703	10324
S2209	9182
PB4204	9672
PF3502	10395
R5906	10551
RG13M1	10563
F3606	11566
B11D1	8498
PYS2103	10555
PG5505	12470
PB4404	10766
S103-07	11030
R3406	11039
PT2201-2	11243
M7025A	8520
R2309	10342
S5503	11788
R1802	10394
PH3801	8525
S80-01Y	10950
S3808	10521
PB3502S	11653
PK20-01	10712
PF2411	11770
PH4033	11320
B2702	9929
R2416	11648
PH3313A	9710
PYS2810	8951
M2901	10423
PF1801	10517
PG106-07D	11612
P118-02	12370
PF4103	9015
R1201	10658
B14P1	12158
S2904	12903
R3503	11558
PG2902	10521
D2B6	12828
R96-07A1	11208
R121-14B	12528
Y3614	12795
PG3606D	12831
M1327	12047
R4601	10668
PM3604	13022
PX1902	11809
S1701	12513
P1003	12274
X1601	12301
PT30-03-2	10259
DX121-18F	12480
M7501	13103
R4402	10407
DX136-07W	12947
S3601	12705
PL2406	12947
PB3601	12175
PM2405	12923
PF30-1D	12682
PYS4301M	10690
PT1902	12700
PG009	10993
PF2412A	12625
Y4020	11428
PA3604	13560
PN006	12652
S90-01	12422
PT3102	10684
Y4009A	11182
R2305	12049
J7Y3	13671
Y100-08	15065
Y119-03	12756
Y2001A1	12009
PF30-2	13132
M6601	13315
Y8604A	13613
R5324	18922
PB2201	13051
PG5501	12984
PB4401	11863
P6409Y	14223
M70-01Q	12574
M94-06F	19970
R2701	15603
R2406	12181
PT4103	11861
2NM914A	14173
R2504	15387
PDH2405	12021
S1123A	14815
P115-07	21111
R9002	14957
PG4201	13648
PK4640	19240
M7004Y	16011
Y4204	15764
PM2101E	15602
PT2906	21761
Y127-01C1	24421
