DATASET_SIMPLEBAR
SEPARATOR TAB

COLOR	#4f89f5
DATASET_LABEL	GenomeSize

LEGEND_COLORS	#000000
LEGEND_SHAPES	1
LEGEND_TITLE	GenomeSize
HEIGHT_FACTOR	0.6
MARGIN	5
WIDTH	200

DATA
outgroup	10000000
R8901	7604656
DX8004	7719515
DX126-06A	8435374
R5919	8769365
F8603	8816188
PX1910	9124877
P7018B	9228546
M5909	9271945
F6312	9457870
DX115-01	9685205
M7023	10160833
PYS2905	10366288
B8007	10458288
Y93-05	10496135
DX6506	10517932
X1902-2	10631768
2NR913A	10641513
PB2809B	10646782
Y4102	10698156
Y6105	10844927
Y1806	11151035
B5408	11206038
B7036	11508849
B5901	11601500
F2013-T	11717290
P8010B	11749468
PB4207	11788834
P4013B	12010322
PK3901	12197198
R6205-2	12247515
DX7706-2	12285585
PK3305	12338913
F7312	12345783
PK1605	12352703
Y91-04	12667940
P6004	12743706
2NR911	12896372
P5906	13017974
Y4206	13175531
M2015	13467156
F7403A	13632854
R80-11	13908874
Y131-23	14084506
R1910	14434896
R1214	14912017
PF3311	15031017
M119-17A	16352523
Y1112B	16930516
PG5214	18207091
M94-02A	18226821
PG92-21	18306922
PG99-01B2	18381281
S30-09	18521032
PH4014	18695115
M7017B	18755401
PG3902-1	19038063
P1410A	19230484
PT2105A-2	19387214
M118-08B	19760005
PK2101B	19844801
PG4208	19964995
PF2202	20001422
PT3311B	20091665
PG2906A	20093658
M30-05A-2	20224578
PT3309	20299619
P1801B	20845140
R9020	21642952
R30-23	21648825
F1605B	21889493
PDH3307A	21952620
M5902	22025668
PH4023	22557632
F127-10	22605278
PG113-03A	22811628
PB3310	23000093
P1411	23168718
P7048X-2	23295031
M4303A	23304742
M4009	23322771
S3305	23420014
B1607	23446300
M2204	23553261
PB005A	23566371
PG3703	23601379
R13A2	23758296
P8426	24397277
M6011	24593351
M103-07B1	25241441
Y128-05C	25568693
M3602D	25673477
S1907	25925934
Y128-05A	25932826
M8501	26005969
S1801	26022687
M20-04A	26456534
S2702	26824604
P2701V1	27137890
M1707	27179947
M-2-1	27452817
PF1803	27695660
PH4021C	28035211
PYS2302	28063969
R2409	28077488
PYS2703	28262224
S2209	28548381
PB4204	28841320
PF3502	28879243
R5906	29049829
RG13M1	29154027
F3606	29264059
B11D1	29333581
PYS2103	29457564
PG5505	29648601
PB4404	29748606
S103-07	29774733
R3406	29979206
PT2201-2	30129278
M7025A	30222794
R2309	30305840
S5503	30362169
R1802	30407125
PH3801	30421393
S80-01Y	30910980
S3808	31086147
PB3502S	31300834
PK20-01	31409807
PF2411	31670603
PH4033	31677846
B2702	31915486
R2416	32012255
PH3313A	32068340
PYS2810	32083794
M2901	32089604
PF1801	32233358
PG106-07D	32273102
P118-02	32434644
PF4103	32451483
R1201	32726838
B14P1	32900204
S2904	33040702
R3503	33073772
PG2902	33076757
D2B6	33263517
R96-07A1	33265359
R121-14B	33313169
Y3614	33343775
PG3606D	33454618
M1327	33633690
R4601	33656575
PM3604	33680840
PX1902	33681611
S1701	33728083
P1003	33811679
X1601	33824912
PT30-03-2	33967495
DX121-18F	34058394
M7501	34158029
R4402	34160464
DX136-07W	34239107
S3601	34244541
PL2406	34271254
PB3601	34365256
PM2405	34671233
PF30-1D	34806200
PYS4301M	34873724
PT1902	34934587
PG009	35123517
PF2412A	35144504
Y4020	35180990
PA3604	35261291
PN006	35418858
S90-01	35652385
PT3102	35904361
Y4009A	36074648
R2305	36382558
J7Y3	36811154
Y100-08	36937716
Y119-03	37014117
Y2001A1	37316188
PF30-2	37372965
M6601	37383500
Y8604A	37821862
R5324	38191877
PB2201	38398285
PG5501	38790049
PB4401	39183461
P6409Y	39373711
M70-01Q	39501524
M94-06F	39851863
R2701	40018984
R2406	40228568
PT4103	40239996
2NM914A	41082037
R2504	41245004
PDH2405	41536050
S1123A	43183040
P115-07	43368718
R9002	44549138
PG4201	45142258
PK4640	45199702
M7004Y	46975095
Y4204	49165953
PM2101E	49947980
PT2906	50205479
Y127-01C1	65100636
